学者,奖励名称
李乾利,2020年度博士后科学基金获得者选介
张春生,高应力、高水压耦合作用下水工隧洞安全评价关键技术
刘宁,高应力、高水压耦合作用下水工隧洞安全评价关键技术
张传庆,高应力、高水压耦合作用下水工隧洞安全评价关键技术
周济芳,高应力、高水压耦合作用下水工隧洞安全评价关键技术
周辉,高应力、高水压耦合作用下水工隧洞安全评价关键技术
黄平平,高应力、高水压耦合作用下水工隧洞安全评价关键技术
雷添杰,高应力、高水压耦合作用下水工隧洞安全评价关键技术
张继勋,高应力、高水压耦合作用下水工隧洞安全评价关键技术
倪绍虎,高应力、高水压耦合作用下水工隧洞安全评价关键技术
褚卫江,高应力、高水压耦合作用下水工隧洞安全评价关键技术
高阳,高应力、高水压耦合作用下水工隧洞安全评价关键技术
彭鹏,高应力、高水压耦合作用下水工隧洞安全评价关键技术
陈平志,高应力、高水压耦合作用下水工隧洞安全评价关键技术
李翔宇,高应力、高水压耦合作用下水工隧洞安全评价关键技术
卢景景,高应力、高水压耦合作用下水工隧洞安全评价关键技术
周辉,深部岩体复杂力学响应关键实验技术与装备
胡大伟,深部岩体复杂力学响应关键实验技术与装备
张传庆,深部岩体复杂力学响应关键实验技术与装备
杨凡杰,深部岩体复杂力学响应关键实验技术与装备
卢景景,深部岩体复杂力学响应关键实验技术与装备
刘宁,深部岩体复杂力学响应关键实验技术与装备
刘泉声,深部复合地层隧(巷)道TBM安全高效掘进控制关键技术
黄兴,深部复合地层隧(巷)道TBM安全高效掘进控制关键技术
刘斌,深部复合地层隧(巷)道TBM安全高效掘进控制关键技术
陈馈,深部复合地层隧(巷)道TBM安全高效掘进控制关键技术
李涛,深部复合地层隧(巷)道TBM安全高效掘进控制关键技术
张子新,深部复合地层隧(巷)道TBM安全高效掘进控制关键技术
朱元广,深部复合地层隧(巷)道TBM安全高效掘进控制关键技术
夏明锬,深部复合地层隧(巷)道TBM安全高效掘进控制关键技术
潘玉丛,深部复合地层隧(巷)道TBM安全高效掘进控制关键技术
卢景景,深部复合地层隧(巷)道TBM安全高效掘进控制关键技术
吴瑛,2019中国智慧健康医疗创新成果奖
陈玉玲,2019中国智慧健康医疗创新成果奖
邓颖,2019中国智慧健康医疗创新成果奖
吴芳琴,2019中国智慧健康医疗创新成果奖
王清远,复杂条件下高频振动疲劳试验技术与应用
刘永杰,复杂条件下高频振动疲劳试验技术与应用
黄志勇,复杂条件下高频振动疲劳试验技术与应用
王宠,复杂条件下高频振动疲劳试验技术与应用
王志宇,复杂条件下高频振动疲劳试验技术与应用
张宏,复杂条件下高频振动疲劳试验技术与应用
王清远,复杂荷载与环境下超长寿命疲劳测试技术及工程应用
刘永杰,复杂荷载与环境下超长寿命疲劳测试技术及工程应用
王宠,复杂荷载与环境下超长寿命疲劳测试技术及工程应用
张兆省,前坪水库安全风险与成本风险协同控制技术
李宗坤,前坪水库安全风险与成本风险协同控制技术
皇甫泽华,前坪水库安全风险与成本风险协同控制技术
葛巍,前坪水库安全风险与成本风险协同控制技术
林军亮,前坪水库安全风险与成本风险协同控制技术
郭新燕,前坪水库安全风险与成本风险协同控制技术
田毅博,前坪水库安全风险与成本风险协同控制技术
佟壮壮,前坪水库安全风险与成本风险协同控制技术
杜慧娟,前坪水库安全风险与成本风险协同控制技术
吴溪,前坪水库安全风险与成本风险协同控制技术
姬艳婷,前坪水库安全风险与成本风险协同控制技术
宗克强,前坪水库安全风险与成本风险协同控制技术
张赛,前坪水库安全风险与成本风险协同控制技术
陈彩虹,前坪水库安全风险与成本风险协同控制技术
郭慧娟,前坪水库安全风险与成本风险协同控制技术
陶飞,面向复杂数控装备的监测评估关键技术及标准体系
黄祖广,面向复杂数控装备的监测评估关键技术及标准体系
于东,面向复杂数控装备的监测评估关键技术及标准体系
胡天亮,面向复杂数控装备的监测评估关键技术及标准体系
赵钦志,面向复杂数控装备的监测评估关键技术及标准体系
邹孝付,面向复杂数控装备的监测评估关键技术及标准体系
左颖,面向复杂数控装备的监测评估关键技术及标准体系
李建双,面向复杂数控装备的监测评估关键技术及标准体系
杨堂勇,面向复杂数控装备的监测评估关键技术及标准体系
郑小年,面向复杂数控装备的监测评估关键技术及标准体系
刘路广,基于田间管理措施的水稻节水潜力研究
吴瑕,基于田间管理措施的水稻节水潜力研究
关洪林,基于田间管理措施的水稻节水潜力研究
崔远来,基于田间管理措施的水稻节水潜力研究
潘少斌,基于田间管理措施的水稻节水潜力研究
董苇,基于田间管理措施的水稻节水潜力研究
杨小伟,基于田间管理措施的水稻节水潜力研究
张建涛,基于田间管理措施的水稻节水潜力研究
陈绪勋,基于田间管理措施的水稻节水潜力研究
刘军武,基于田间管理措施的水稻节水潜力研究
刘日成,"复杂裂隙岩体线性及非线性渗流行为的试验和数值模拟研究,青年人才托举工程"
刘日成,"裂隙岩体剪切渗流特性研究,青年科技奖(金奖)"
